Image Name,Original JSON,Updated JSON
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.750227411938333, 0.14695171013191488, 4.667838940662468, 8.166575594497422, 16.806478501974667]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.24744992013491318, 1.2020838527998914, 4.317260911028631, 8.307880865826588, 16.484308873404956]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.19270496236565804, 0.8852339074835294, 3.3809993283506428, 9.053706088318755, 16.6962174106068]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.6254159285481209, 0.861062139297806, 4.47343697813585, 9.485419842934014, 15.888301447977057]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.6677141248734657, 1.5518831882216857, 4.095996881247486, 8.440950456806755, 15.252392783018824]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.8387295828127075, 1.6645156210015588, 4.416554606312635, 9.36210517866148, 16.717848437339267]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.07358868317059986, 1.5164441438458687, 3.2247594940080653, 9.125254424978566, 16.1174773361136]}"
1711725089217.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.7507481946934356, 1.587084638498266, 4.088178027203038, 9.13830517410481, 16.239137520977252]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.7782871927096469, 1.421233451100156, 4.712397521759349, 9.973715585356548, 16.811449445502376]}"
1711725089159.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.6127313173221638, 0.7340397108592798, 3.624058331117207, 8.177437493804945, 15.53095855068754]}"
Actual Sales vs. Month (4).png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.0793763702737289, 1.458876034785494, 3.0068087585230434, 9.031725141664223, 16.5439733087039]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.05940148299042036, 1.078576433328491, 4.808851409604486, 9.41399036350737, 16.44156846674596]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.4480067623946409, 1.0016068061590435, 3.5424314324064854, 8.84250866198926, 16.443714348757865]}"
1711725089159.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.998035620206364, 1.5547960040491202, 3.982274130236214, 8.824427096515985, 15.012598273015174]}"
"A, B and C (1).png","{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.8687664664949835, 1.958976258808305, 3.1545953744750643, 9.880960938405131, 15.52824201875975]}"
1711725089217.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.03779707564716661, 0.3405009645439778, 3.784322195887532, 8.772310326279907, 15.837485697107866]}"
1711725089217.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.20816108842788372, 1.6754393810840598, 3.062717994715123, 9.671263197894646, 15.338465875254263]}"
1711725089217.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.06862758129708624, 1.6379077155679205, 4.097459260442934, 9.220299598727516, 16.82138946660797]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.6425932572634974, 1.8580710416376278, 4.584226308344611, 8.56508127464984, 15.43838263818143]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [0.02998806704206003, 1.2340360102142305, 3.3007767566383546, 9.49640849313288, 15.32942112138413]}"
1711725089132.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.9875741973626735, 1.5239809593336358, 4.671915683867165, 8.998966992557262, 16.51296515463015]}"
1711725089217.png,"{'x': [0, 1, 2, 3, 4], 'y': [0, 1, 4, 9, 16]}","{'x': [0, 1, 2, 3, 4], 'y': [-0.6820084184196138, 0.0824576520129785, 3.3424000322759806, 9.471707371864001, 16.605203446421523]}"
1711725089132.png,"{'metadata': {'title': 'Global and regional inflation', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Inflation Rate'}, 'legend': ['World', 'Developed Economies', 'Economies in transition', 'Africa', 'East Asia', 'South Asia', 'Western Asia and the Caribbean', 'Latin America and the Caribbean']}, 'data': [{'name': 'World', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [5, 8, 5, 6]}, {'name': 'Developed Economies', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 5, 4, 5]}, {'name': 'Economies in transition', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [8, 14, 8, 10]}, {'name': 'Africa', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 17, 14, 18]}, {'name': 'East Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 4, 3, 4]}, {'name': 'South Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 14, 10, 13]}, {'name': 'Western Asia and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [25, 21, 18, 15]}, {'name': 'Latin America and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [9, 12, 9, 11]}]}","{'metadata': {'title': 'Global and regional inflation', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Inflation Rate'}, 'legend': ['World', 'Developed Economies', 'Economies in transition', 'Africa', 'East Asia', 'South Asia', 'Western Asia and the Caribbean', 'Latin America and the Caribbean']}, 'data': [{'name': 'World', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [5, 8, 5, 6]}, {'name': 'Developed Economies', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 5, 4, 5]}, {'name': 'Economies in transition', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [8, 14, 8, 10]}, {'name': 'Africa', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 17, 14, 18]}, {'name': 'East Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 4, 3, 4]}, {'name': 'South Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 14, 10, 13]}, {'name': 'Western Asia and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [25, 21, 18, 15]}, {'name': 'Latin America and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [9, 12, 9, 11]}]}"
